Customer ID,Recency,Frequency,Monetary,customer_lifespan,total_transactions,avg_order_value,max_order_value
12346.0,325,12,77556.46,400,34,2281.0723529411766,77183.6
12347.0,1,8,4921.53,402,222,22.169054054054055,249.6
12348.0,74,5,2019.3999999999999,362,51,39.59607843137255,240.0
12349.0,18,4,4428.6900000000005,570,175,25.306800000000003,300.0
12350.0,309,1,334.40000000000003,0,17,19.67058823529412,40.0
12351.0,374,1,300.93,0,21,14.33,23.4
12352.0,35,10,2849.84,356,103,27.668349514563108,376.5
12353.0,203,2,406.76,204,24,16.948333333333334,39.8
12354.0,231,1,1079.4,0,58,18.610344827586207,54.08
12355.0,213,2,947.61,353,35,27.074571428571428,120.0
12356.0,22,6,6371.7300000000005,401,142,44.87133802816902,424.5
12357.0,32,3,18287.66,355,296,61.78263513513514,850.0
12358.0,1,5,3887.07,730,77,50.48142857142857,297.0
12359.0,57,10,8873.39,676,362,24.5121270718232,290.0
12360.0,51,8,4252.89,603,217,19.59857142857143,160.0
12361.0,286,4,511.25,394,29,17.629310344827587,33.0
12362.0,2,11,5356.2300000000005,735,267,20.060786516853934,130.0
12363.0,109,2,552.0,132,23,24.0,69.36
12364.0,7,4,1313.1,104,85,15.448235294117646,64.8
12365.0,290,2,641.38,0,22,29.153636363636362,320.69
12366.0,633,1,500.24,0,3,166.74666666666667,175.76
12367.0,3,1,168.9,0,11,15.354545454545455,23.4
12368.0,627,1,917.7,0,18,50.983333333333334,119.4
12369.0,412,3,1791.15,228,93,19.25967741935484,200.0
12370.0,50,7,4316.56,617,201,21.47542288557214,163.2
12371.0,44,5,4067.38,600,167,24.35556886227545,360.0
12372.0,71,3,1298.04,224,52,24.962307692307693,70.80000000000001
12373.0,310,3,1127.65,362,51,22.110784313725492,80.0
12374.0,24,4,2989.2200000000003,563,83,36.01469879518073,200.0
12375.0,10,2,457.5,87,17,26.91176470588235,62.400000000000006
12376.0,389,2,503.15,28,13,38.70384615384615,100.8
12377.0,314,4,3426.32,274,152,22.54157894736842,80.0
12378.0,129,2,5416.32,432,301,17.994418604651162,69.36
12379.0,81,4,1620.22,452,81,20.002716049382716,76.19999999999999
12380.0,21,11,9676.300000000001,640,277,34.93249097472925,1508.65
12381.0,4,5,1845.31,115,87,21.21045977011494,240.0
12383.0,184,5,1850.56,167,99,18.69252525252525,72.0
12384.0,28,2,585.27,92,27,21.676666666666666,80.0
