month,revenue
2009-12-01 00:00:00,683504.0099999963
2010-01-01 00:00:00,555802.6720000128
2010-02-01 00:00:00,504558.9560000152
2010-03-01 00:00:00,696978.4710000168
2010-04-01 00:00:00,591982.0020000122
2010-05-01 00:00:00,597833.3800000132
2010-06-01 00:00:00,636371.1300000139
2010-07-01 00:00:00,589736.1700000105
2010-08-01 00:00:00,602224.6000000115
2010-09-01 00:00:00,829013.951000026
2010-10-01 00:00:00,1033112.0100000456
2010-11-01 00:00:00,1166460.0220000315
2010-12-01 00:00:00,570422.7300000046
2011-01-01 00:00:00,568101.3100000011
2011-02-01 00:00:00,446084.91999999987
2011-03-01 00:00:00,594081.7600000012
2011-04-01 00:00:00,468374.33099999645
2011-05-01 00:00:00,677355.1500000005
2011-06-01 00:00:00,660046.0499999961
2011-07-01 00:00:00,598962.9009999968
2011-08-01 00:00:00,644051.0399999975
2011-09-01 00:00:00,950690.2020000052
2011-10-01 00:00:00,1035642.4500000197
2011-11-01 00:00:00,1156205.6100000339
2011-12-01 00:00:00,517208.4399999968
